Straatnaam,AFKOR,GAC Code,Regio,Zone,POINT_X,POINT_Y
Guido Gezellestraat,GUI,32250,3,32,-70.02806332,12.51576905
Guitarastraat,GUS,36270,3,36,-70.014625,12.51596324
Gurdein,GUR,41046,4,41,-70.00810321,12.54571614
Gutenbergstraat,GUT,22150,2,22,-70.04274396,12.52379392
Guyabastraat,GUY,35080,3,35,-70.02001055,12.51310738
Habihastraat,HA,28280,2,28,-70.02969724,12.53432159
Halifat,HAL,13055,1,13,-70.02938033,12.57266236
Hato,HAT,12010,1,12,-70.03780829,12.54604965
Havenstraat,HAV,31110,3,31,-70.03842529,12.5202041
Heidestraat,HES,11180,1,11,-70.032914,12.56917135
Helfrichstraat,HFR,83100,8,83,-69.90650549,12.43371792
Hendrik Casimirstraat,HCA,82130,8,82,-69.90507179,12.4372629
Hendrikstraat,HEN,31020,3,31,-70.03549281,12.52113984
Herman Gorterstraat,HGS,32270,3,32,-70.02878238,12.5131166
Hildebrandstraat,HBR,75040,7,75,-69.89832426,12.43904743
Hondurasstraat,HON,26150,2,26,-70.03607053,12.52383859
Hooiberg,HO,51010,5,51,-69.99998957,12.5188846
Hooiberg Kavel/Hooibergiet,HOK,51020,5,51,-69.99803253,12.52015917
Hospitaalwijk,HOW,33210,3,33,-70.02946208,12.52100617
Hubadastraat,HUB,28120,2,28,-70.03199953,12.52789823
Hudishibana,HU,16020,1,16,-70.0517104,12.61411567
Hugo de Grootstraat,HUG,33100,3,33,-70.03261957,12.52174849
Hurihuristraat,HUH,28240,2,28,-70.02985606,12.53605424
Huronstraat,HUR,72030,7,72,-69.91421183,12.44761015
Ierlandstraat,IE,22070,2,22,-70.04641549,12.53047255
Incastraat,INC,72210,7,72,-69.91597739,12.44512381
Indianenweg,IN,33110,3,33,-70.03315324,12.52322697
Ir. Luymesstraat,LS,61090,6,61,-69.97465766,12.46924993
Irausquinplein,IR,33010,3,33,-70.03517022,12.52365057
Irenestraat,IR,32050,3,32,-70.0324816,12.51683808
Isaac Wagemakerstraat,IWM,73120,7,73,-69.91045558,12.44042303
Italiestraat,IT,22040,2,22,-70.04864201,12.52916964
J.E. Irausquin Boulevard 1,JIB,11025,1,11,-70.04720778,12.56563318
J.E. Irausquin Boulevard 2,JIB,22025,2,22,-70.05985542,12.53950299
Jaburibari,JAB,43090,4,43,-70.0023356,12.54914195
Jacob Catstraat,JAC,32340,3,32,-70.02916849,12.51572514
Jacob Thielenstraat,JTS,64060,6,64,-69.92838704,12.44222467
Jamanota,JAM,55060,5,55,-69.95410361,12.49134041
Jan de Oudestraat,OUS,82170,8,82,-69.90717373,12.43690361
